EAN,Marca,Nombre,Presentacion,Indicaciones,Categoria,Modo de uso,Beneficios,Propiedades,General
7798182770042,Cepage,Acneiqué Crema-Gel,Pomo x 40gr,Especialmente formulada para pieles oleosas y/o con tendencia al acné. Propiedades antisépticas y antienrojecimiento. Regula el exceso de sebo.,Tratamiento para acné,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda complementar con Acneique Gel limpiador o H2O micelar. Aplicar una o varias veces al día según necesidad.","Favorece la renovación celular, seborregula, matifica, suaviza la piel oleosa, reduce brillo y poros, mejora el microbioma cutáneo, reduce rojeces y disconfort, alto poder antioxidante.","Ácido salicílico, ALPAFLOR® ALP®-SEBUM, Niacinamida, Chamomilla, Hamamelis, Polifenoles de UVA. Hipoalergénica, sin parabenos, no comedogénica, testeado dermatológicamente.",Dimensiones 40mm x 40mm x 112mm. Peso 58gr.
7798182770325,Cepage,Acneiqué Mat Crema-Gel,Pomo x 40gr,"Ideal para pieles oleosas y/o con tendencia al acné. Matificante, seborreguladora e hidratante. Efecto mate, anti-brillo, minimiza poros e hidrata 24hs.",Tratamiento para acné,Aplicar sobre la piel limpia y seca. Se recomienda complementar con Acneique Gel limpiador o H2O micelar. Aplicar una o varias veces al día según necesidad.,"Antiséptico, seborregulador, favorece la renovación celular, garantiza hidratación duradera, alto poder antioxidante.","Zinc, extracto de Iris, retinol, lipomoistTM, ácido hialurónico, Polifenoles de UVA. Hipoalergénica, sin parabenos, no comedogénica, testeado dermatológicamente.",Dimensiones 40mm x 30mm x 145mm. Peso 60gr.
7798182770332,Cepage,Acneiqué Gel Limpiador,Pomo x 200gr,Indicado para pieles oleosas y/o con tendencia al acné. Elimina impurezas y exceso de sebo. Deja la piel limpia y fresca con efecto mate.,Limpieza para acné,Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes. Enjuagar con abundante agua. No aplicar en los ojos.,"Contiene Zinc como antiséptico, extracto de iris como seborregulador, retinol para renovación celular, alto efecto antioxidante.","Zinc, extracto de iris, retinol, Polifenoles de UVA. Hipoalergénica, sin parabenos, no comedogénica, testeado dermatológicamente.",Dimensiones 80mm x 50mm x 185mm. Peso 225gr.
7798182770851,Cepage,Acneiqué H20 Solución Micelar,Envase x 245ml,"Para pieles mixtas a grasas, limpia, desmaquilla y seborregula. Piel fresca y matificada al instante.",Limpieza facial,Aplicar con un algodón humedecido sobre el rostro. Limpie y desmaquille suavemente. Repetir hasta que el algodón salga limpio y secar sin frotar.,"Hidrata, calma, seborregula, mejora la textura de la piel, alto efecto antioxidante.","Manitol, Xilitol, Zinc, extracto de Iris, Retinol, Ácido láctico, Polifenoles de uva. Hipoalergénica, sin parabenos, no comedogénica, testeada oftalmológica y dermatológicamente.",Dimensiones 60mm x 55mm x 145mm. Peso 276gr.
7795345122748,Cepage,Probiac comprimidos,30+30 comprimidos recubiertos,Coadyuvante en el tratamiento del acné. Ayuda a mejorar el acné en todas sus fases.,Suplemento dietario para acné,"Tomar un comprimido de Vitaminas, Zinc y Cobre (comprimido verde) y un comprimido de probióticos al día (comprimido blanco).","Ayuda a modular la inflamación sistémica que produce el acné y a controlar la hiperqueratinización, hipersecreción y proliferación del acné.","Probióticos, Vitaminas, Zinc, Cobre. Libre de gluten, lactosa y azúcar.",
7798182771179,Cepage,Acneiqué Gel Limpiador,Botella x 450gr,Indicado para pieles oleosas y/o con tendencia al acné. Elimina impurezas y exceso de sebo. Deja la piel limpia y fresca con efecto mate.,Limpieza facial para acné,Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes. Enjuagar con abundante agua. No aplicar en los ojos.,"Antiséptico, seborregulador, favorece la renovación celular, alto poder antioxidante.","Zinc, extracto de iris, retinol, Polifenoles de UVA. Hipoalergénica, sin parabenos, no comedogénica, testeado dermatológicamente.",
7798182770950,Cepage,Acneiqué Exfoliant,Pomo x 70gr,"Gel renovador para pieles con tendencia al acné. Elimina células muertas, impurezas y exceso de sebo.",Exfoliante para acné,"Aplicar una a tres veces por semana sobre la piel húmeda del rostro con suaves masajes circulares. Reforzar en mentón, nariz y frente. Evitar contorno de ojos. Enjuagar con abundante agua.","Exfoliante inteligente de acción física y química. 100% natural y biodegradable. Respeta el PH fisiológico. Hidratación instantánea y profunda por 72 horas. Alto efecto antioxidante. Piel suave, limpia y fresca con efecto mate.","Novascrub™ Arroz, alfa hidroxiácidos, Zinc, extracto de Iris, Retinol, Pentavitin®, Polifenoles de uva. Hipoalergénico, testeado dermatológicamente, sin parabenos.",Dimensiones 35mm x 35mm x 135mm. Peso 80gr.
,Cepage,Acneiqué Sérum,Gotero x 30ml,"Tratamiento para atenuar marcas, poros visibles y puntos blancos y negros. Indicado para pieles oleosas y como coadyuvante en los tratamientos del acné.",Sérum anti-imperfecciones,"Aplicar sobre la piel limpia y seca del rostro, por la noche. Colocar 3 a 5 gotas realizando suaves masajes circulares. Evitar contacto con mucosas y contorno de ojos. Usar protección solar FPS 50+ durante el día.","Mejora la función barrera de la piel, calma, protege, seborregula, atenúa manchas, mejora textura de la piel, atenúa imperfecciones, matifica, suaviza, mejora microbioma cutáneo, alta acción antioxidante.","Niacinamida 5%, Ácido Salicílico 0.5%, Ácido Glicólico 3.5%, ALPAFLOR® ALP®-SEBUM 0.5%, Bisabolol, oligoelementos, polifenoles de UVA. Hipoalergénico, testeado dermatológicamente.",Textura fluida y de rápida absorción.
7798182770059,Cepage,Clarité Crema Fluída,Pomo x 30ml,Ideal para pieles hiperpigmentadas y como coadyuvante de tratamientos médicos. Atenúa manchas y unifica el tono de la piel.,Despigemantante,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote, por la mañana y/o noche. Usar diariamente durante 60-90 días como mínimo. Complementar con protección solar.","Atenúa manchas, unifica el tono, otorga luminosidad, retrasa el fotoenvejecimiento, no fotosensibilizante, apto para todo el año, alto efecto antioxidante.","Chromabright®, Polifenoles de UVA, oesferas de Vitamina C y E. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 36mm x 28mm x 135mm. Peso 45gr.
7798182770806,Cepage,Clarité Contorno de Ojos,Airless x 5gr,"Cuidado diario ideal para contorno de ojos hiperpigmentados y oscuros. Atenúa manchas, unifica el tono y reduce bolsas y ojeras.",Despigmentante para contorno de ojos,Aplicar sobre la piel limpia y seca con suaves masajes ascendentes sobre el hueso periocular. Aplicar dos veces al día (mañana y noche) durante 60-90 días. Complementar con protección solar.,"Atenúa bolsas y ojeras, unifica el tono de la piel, retrasa el fotoenvejecimiento, no fotosensibilizante, mejora la microcirculación capilar, protege del estrés oxidativo.","Chromabright®, Regu® Age, péptidos de arroz y soja, SOD, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 35mm x 28mm x 115mm. Peso 40gr.
7798182771261,Cepage,Clarité TX Sérum,Gotero x 30ml,Tratamiento para reducir manchas y su reaparición. Indicado para hiperpigmentaciones de cualquier origen y manchas asociadas al fotoenvejecimiento.,Despigemantante,"Aplicar 3 a 5 gotas sobre la piel limpia y seca del rostro, cuello y escote una vez al día. Realizar suaves masajes circulares con la yema de los dedos. Evitar el contorno de ojos. Usar diariamente durante 60-90 días como mínimo. Complementar con Clarité crema fluida y/o Renovateurs. Usar protección solar FPS 50+ durante el día.","Unifica el tono, reduce las manchas y su reaparición. Hidrata, protege la barrera cutánea y unifica el tono. Antioxidante y protector celular.","Ácido tranexámico 3%, Niacinamida 5%, OTZ 0®ProTaurine, Polifenoles de UVA. Hipoalergénica, sin parabenos, clínicamente y dermatológicamente testeado.","Textura fluida y de rápida absorción. Activo inteligente que se convierte en taurina, un poderoso activo antifatiga."
7798182770028,Cepage,Hydrafirm AR Sérum,Airless x 30ml,"Hidratante y preventivo de arrugas de expresión, ideal para todo tipo de piel.",Sérum hidratante anti-age,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda combinar con Hydrafirm HA sérum.","Hidratación instantánea y profunda, reserva de humedad hasta 72 horas, previene y suaviza arrugas y líneas de expresión, alto efecto antioxidante, rápida absorción.","Pentavitin®, Argireline®, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 42mm x 35mm x 130mm. Peso 63gr.
7798182770011,Cepage,Hydrafirm PH Crema de Noche,Pomo x 50g,Tratamiento ultrahidratante y preventivo de arrugas y líneas de expresión. Ideal para todo tipo de piel.,Hidratante anti-age,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda combinar con Hydrafirm HA serúm para potenciar el tratamiento.","Hidratación instantánea y profunda, reserva de humedad hasta 72 horas, suave exfoliación, alto efecto antioxidante.","Pentavitin®, Urea, Ácido Hialurónico, Vitamina E, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 40mm x 40mm x 135mm. Peso 70gr.
7798182770097,Cepage,Hydrafirm CO Contorno de Ojos,Pomo cánula x 5g,Hidratante y preventiva del envejecimiento cutáneo. Atenúa bolsas y ojeras. Cuidado diario para el contorno de ojos.,Contorno de ojos,Aplicar sobre la piel limpia y seca del contorno de ojos con suaves masajes ascendentes. Aplicar dos veces al día (mañana y noche).,"Hidratación instantánea y profunda, reserva de humedad hasta 72 horas, reduce hinchazón, aumenta elasticidad, aclara ojeras, alto efecto antioxidante.","Pentavitin®, Eyeseryl®, Vitamina E, Polifenoles de UVA. Oftalmológica y dermatológicamente testeado, cruelty free, hipoalergénica, sin parabenos.",Dimensiones 40mm x 23mm x 125mm. Peso 28gr.
7798182770103,Cepage,Hydrafirm Rougeurs,Pomo cánula x 30g,Cuidado concentrado para pieles sensibles y/o rojeces localizadas. Calma el discomfort de pieles sensibles y/o reactivas. Atenúa rojeces transitorias y/o permanentes y previene su aparición.,Cuidado para pieles sensibles,"Aplicar sobre la piel limpia y seca del rostro, con especial atención en zonas con rojeces. Se recomienda el uso de protección solar durante el día.",Cuida y revitaliza pieles apagadas y cansadas. Aporta alivio y calma. Reduce sensaciones de irritación y rubor. Atenúa y previene rojeces. Neutraliza ópticamente las rojeces.,"Oligovita™, Chamomilla, Castaño de Indias, Hamamelis, Árnica, Regaliz, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 40mm x 30mm x 145mm. Peso 48gr.
7798182770875,Cepage,Hydrafirm H20,Envase x 245ml,Solución micelar limpiadora y desmaquillante para pieles normales y sensibles.,Limpieza facial,Aplicar con un algodón humedecido sobre el rostro. Limpiar y desmaquillar suavemente. Repetir hasta que el algodón salga limpio y secar sin frotar.,"Hidratación instantánea y profunda, reserva de humedad por 72 horas, mejora la hidratación de las células epidérmicas, refuerza el efecto barrera, alto efecto antioxidante.","Manitol, Xilitol, Oligovita™ (L-Arginina, Maca, jengibre), Pentavitin®, Polifenoles de UVA. Oftalmológica y dermatológicamente testeado, hipoalergénica, sin parabenos.",Dimensiones 60mm x 55mm x 145mm. Peso 276gr.
