codigo,ean,stock,precio,promo,descripcion
12,30162662,4,58422.0,No Promo,LA ROCHE POSAY ANTHELIOS UV MUNE  SPF50+ ULT A FLUIDO SIN COLOR CREMA
12,30173644,5,32990.0,35%,LOREAL INFALLIBLE MORE THAN CONCELEAR env.329(      )
12,75027513,8,5270.0,No Promo,DOVE ORIGINAL DESODORANTE BARRA 50GR
12,75027537,4,5270.0,No Promo,DOVE INVISIBLE DRY DESODORANTE BARRA 50GR
12,75031060,2,6022.0,No Promo,DOVE MEN CARE CUIDADO TOTAL DESODORANTE BARR 50GR
12,75079437,32,11323.0,40%,DOVE CLINICAL ORIGINAL SOFT BARRA 58GR
12,75080136,8,5270.0,No Promo,DOVE ORIGINAL DESODORANTE BARRA 50GR
12,75080150,4,5270.0,No Promo,DOVE INVISIBLE DRY DESODORANTE BARRA 50GR
12,77020512,13,1500.0,No Promo,TIC TAC MENTA FRESH 16GR 16GR
12,77974457,7,2129.0,No Promo,REXONA ODORONO CREMA 60GR
12,77976239,10,2916.0,No Promo,DOVE ORIGINAL DEOSODORANTE ROLL ON 50ML
12,77987983,7,2129.0,No Promo,REXONA ODORONO CREMA 60GR
12,78009227,8,5270.0,No Promo,DOVE ORIGINAL DESODORANTE BARRA 50GR
12,78914407,10,2916.0,No Promo,DOVE ORIGINAL DEOSODORANTE ROLL ON 50ML
12,78924468,10,2916.0,No Promo,DOVE ORIGINAL DEOSODORANTE ROLL ON 50ML
12,78924529,3,2916.0,No Promo,DOVE INVISIBLE DRY DESOSORANTE FEM ROLL ON 5 ML
12,750310600,2,6022.0,No Promo,DOVE MEN CARE CUIDADO TOTAL DESODORANTE BARR 50GR
12,12800516049,7,8250.0,No Promo,RAYOVAC PILA AUDIOLOGIA tama_o 10 x6u (L010)
12,12800516063,5,7800.0,No Promo,RAYOVAC PILA AUDIOLOGIA tama_o 312 x6u (L312
12,41333014630,1,5000.0,2do80%,DURACELL PILAS AA 2 UNIDADES
12,41333045405,1,5000.0,2do80%,DURACELL PILAS AA 2 UNIDADES
12,41333045412,5,5000.0,2do80%,DURACELL PILAS AAA 2 UNIDADES
12,41333431482,5,5000.0,2do80%,DURACELL PILAS AAA 2 UNIDADES
12,41554081145,1,33990.0,35%,MAYBELLINE NY THE FALSIES SURREAL WASHABLE V RY BLACKJ MASCARA PESTAN
12,41554237726,1,19750.0,No Promo,MAYBELLINE SUPERSTAY 24COLOR 2STEP LC ???(EVERLASTICK)
12,41554460834,1,21490.0,35%,MAYBELLINE MASTER PRECISE SKINY 0001(BLACK)
12,47400179240,1,6829.0,No Promo,GILLETTE MACH3 EXTRA RESPUESTO 2 UNIDADES
12,47400179290,1,6829.0,No Promo,GILLETTE MACH3 EXTRA RESPUESTO 2 UNIDADES
12,47400241459,4,9000.0,No Promo,GILLETTE FOAMY MENTOL ESPUMA 312GR
12,70330717510,2,3365.0,No Promo,BIC COMFORT 3 MAQUINA DE AFEITAR 2 UNIDADES 943123
12,70330717527,6,3365.0,No Promo,BIC COMFORT 3 SENSITIVE MAQUINA DE AFEITAR 2 UNIDADES - 943125
12,70330731745,2,4090.0,No Promo,BIC SOLEIL MAQUINA DE AFEITAR ROSA Y VIOLETA 2 UNIDADES - 930270
12,70330731806,16,2168.0,No Promo,BIC SOLEIL MAQUINITA DE AFEITAR ROSA 1 UNIDA (BLISTER)
12,70330736559,1,2600.0,No Promo,BIC FLEX 3 EXTRA SUAVE CELESTE MAQUINITA DE FEITAR 1 UNIDAD (BLISTER
12,70942002110,3,4565.0,No Promo,GUM CLASSIC 211 SUAVE + FLOSSERS CEPILLO DEN AL 1 UNIDAD
12,70942004114,4,4565.0,No Promo,GUM CLASSIC 411 CEPILLO DENTAL + FLOSSERS 1 NIDAD
12,70942304726,1,4392.0,No Promo,GUM FLOSSER MULTIPLE ACTION MENTA 40 UNIDADE
12,70942507233,5,4248.0,No Promo,GUM ORTHODONTIC CERA DE ORTODONCIA VIT E 5 U IDADES
12,70942904148,1,6098.0,No Promo,GUM PROXABRUSH 414 RESPUESTOS CEPILLOS INTER ENTALES 8 UNIDADES
12,73796612320,1,110162.0,No Promo,OMRON TENSIOMETRO MU�ECA HEM 6123
12,74170469813,2,14700.0,No Promo,SH-TOP COAT 3.0 SHINY
12,79400052919,2,11618.0,No Promo,REXONA CLINICAL MEN ANTI TRANSPIRANTE SOFT C EAN BARRA 48GR
12,79400052926,2,11169.0,No Promo,REXONA CLINICAL WOM ANTI TRANSPIRANTE CLASIC BARRA 48GR
12,79400103147,32,11323.0,40%,DOVE CLINICAL ORIGINAL SOFT BARRA 58GR
12,79400110695,14,11171.0,No Promo,REXONA CLINICAL WOM ANTI TRANSPIRANTE CLEAN RESH BARRA 48GR
12,79400301161,1,11169.0,No Promo,REXONA CLINICAL WOM ANTI TRANSPIRANTE EXTRA RY BARRA 48GR
12,79400509048,22,11593.0,30%,DOVE VITA MIN CARE RASPBEYROSE DESODORANTE E BARRA 74GR
12,79400509062,22,11593.0,30%,DOVE VITA MIN CARE COCOYSHEA DESODORANTE EN ARRA 74GR
