ID,Nombre,Dirección,Localidad
10,Libertador,Av. Del Libertador 14995,Acassuso
11,Orien,Av. Entre Ríos 205,CABA
12,Beiro,Av. Beiró 5800,CABA
13,Vicente Lopez,Av. Maipú 918,Vicente Lopez
14,Don Torcuato,Av. Alvear 1999,Don Torcuato
15,Martinez,Av. Santa Fe 2013,Martinez
16,Daflo,Blanco Encalada 1609,CABA
17,Bikaner,Av. Corrientes 1880,CABA
18,San Telmo,Humberto Primo y Defensa,CABA
19,Delta,Av. Santa M de las Conchas 4793,Rincón de Milberg
20,San Fernando,Av. Libertador 3061,Victoria
21,OpenMitre,Av. Bartolomé Mitre 620,Villa Martelli
22,OpenMartinez,Av. Santa Fe 1402,Martinez
23,Farmator,M T de Alvear 2470,Don Torcuato
24,Finochietto,Av. Córdoba 2639,CABA
31,Contemporanea,Av. Rivadavia 5444,CABA
65,Rural,Av. Santa Fe 4228,CABA
71,Perles,Alsina 801,CABA
